,Speech Title,Url Link,Date,Speech Text,Speaker
0,Shuler: We Can Make Dr. King's Dream a Reality,https://aflcio.org/speeches/shuler-we-can-make-dr-kings-dream-reality,1-13-2023,"AFL-CIO President Liz Shuler delivered the following remarks as prepared to the 2023 AFL-CIO Dr. Martin Luther King Jr. Civil and Human Rights Conference.Hello, everyone! Welcome to the Dr. Martin Luther King Jr. Civil and Human Rights Conference. And to those of you who’ve joined us from across the country, welcome to D.C.! I want to recognize the hard work that goes into bringing events like this one to life and just say a special thanks to  our Secretary-Treasurer Fred Redmond and his team, who have been tireless, as well as our union supporters at LIUNA, the Steelworkers, the MLBPA and Union Plus for their sponsorship. This year’s conference theme “Claiming our Power, Protecting our Democracy,” is so timely and important. Over the past few years we’ve seen the rise of misinformation, of political polarization dividing our communities, the rise in attacks on our basic freedoms like the right to vote and organize a union, and attacks on our democracy itself.And as a labor movement, we have to respond. We know how to use our voices to fight back against those in power who want to weaken and diminish us. We know how to leverage the power of collective action – and it’s by speaking together, in one clear voice, demanding change, is one of the best hopes our nation has not only for a continuing but also a thriving democracy. When I was thinking about all of you traveling from different corners of the country this weekend to celebrate the legacy of Dr. King, it called to mind the buses of activists and organizers and union members who flooded into D.C. for the March on Washington. This year marks the 60th Anniversary of the March on Washington. And while we can celebrate the progress we’ve made, the truth is that we have so much work left to do to make Dr. King’s dream a reality. Everyone here knows this, but it’s worth repeating hat march that drew 250,000 people to the National Mall to fight for equality in 1963 – it became known at the “March on Washington” – but the full title was the “March on Washington for Jobs and Freedom.” Jobs and freedom. In the labor movement, we know that those two ideas are intrinsically linked. Good jobs – union jobs – help create the economic freedom and political power necessary to have real opportunity and real equality for everyone. They are twin pillars of our democracy. And when you look back to that August day 60 years ago, you’ll see that message ring out, time and time again from the steps of the Lincoln Memorial. And one of the clearest voices on that issue was the labor movement’s own Walter Reuther. Walter Reuther was the president of UAW at the time, and he was the only white person to speak during the program. He recognized the privilege he had in that moment, and used his unique power and voice to call on everyone to join in the fight for civil rights. He said “the struggle for equal opportunity is the struggle for every American to join in. [That] men of good will must join together – men of all races, and creed, and color, and political persuasion – motivated by the spirit of human brotherhood.”  He knew that this burden, this fight was not for people of color to take on on their own. And that if white people did not link arms and join them there was no way to get true equality. Fast forward six decades later, we’re still in that fight. And I believe it’s white leaders and white people who need to speak up and lead. It’s white leaders who need to show up more in this fight. In 1963, Dr. King couldn’t get the support of the AFL-CIO. This movement was not where it is now. Now we know that all of our work must be done through the lens of racial justice. And Fred [Redmond] and I have worked together to prioritize that work at the AFL-CIO, building a Racial Justice Task Force not just to do a study and put out a report, but to inculcate racial justice into our work across the federation, every day. And we’ve benefitted so deeply from that task force and from Fred’s leadership and historical connections to the labor and civil rights movements. He has worked tirelessly throughout his career to weave the two movements together, to build on the work done in the past, and to lift up our shared values and shared goals and where we’re building toward in the future. Our movement owes so much to his work, his experience and his perspectives. I also want to recognize that people of color lead this movement forward every day in every corner of the country - in organizing efforts against major corporations, in community organizing, and on the picket lines. I look at Washington State, which just made history by becoming the first state federation to be led by two Black women – April Sims and Cherika Carter. I think about Striketober, when I had the chance to walk the BCTGM Local 358 picket line at Nabisco with Keith Bragg, who was leading more than 1,000 workers on strike over threats to the health care benefits of new hires. Keith knew that if they stood together they could win. He said: “We don’t sell out our young workers. We are fighting for the next generation.” And together, we won. When we fight for each other, we all win. We want people to see that - we especially want young people, people of color and women to see the labor movement as the place – as a home – to make change that everyone benefits from. That’s how we build the future and the country we all want to live in. That’s the future Walter Reuther called on people across America to build during his remarks at the March on Washington. He called on the crowd to “join together,  march together, work together until we have bridged the mortal gap between American democracy's noble promises, and its ugly practices in the field of civil rights.” He said “American democracy has been too long on pious platitudes, and too short on practical performances.”So let us – the labor movement – show this nation what democracy looks like in practice. Let’s demonstrate what it looks like to show up for each other, to speak as one and to fight for a democracy where everyone has the chance to live the life they dream of in a country that values them and respects them. No one person or community can take on this fight alone. And they don’t have to. This is what we do as a movement. That’s what the word “solidarity” means. So let’s show the world what we’re capable of. © 2023 AFL-CIO. All rights reserved.",Shuler
1,Redmond: We Must Be That Mighty Force for Change,https://aflcio.org/speeches/redmond-we-must-be-mighty-force-change,1-13-2023,"AFL-CIO Secretary-Treasurer Fred Redmond delivered the following remarks as prepared to the 2023 AFL-CIO Dr. Martin Luther King Jr. Civil and Human Rights Conference.Good evening brothers and sisters. Thank you for spending your holiday weekend with us.Thank you to Clayola [Brown] and Civil and Human Rights and meetings and travel and everybody whose hard work is making this weekend happen.And thank you Liz [Shuler]. You’re a terrific leader and I couldn’t have asked for a better partner. You have shown us time and time again why you are the right person to be at the helm of the labor movement. President Shuler is union from the top of her head to bottom of her feet and she’s making sure everything we do puts workers of color and women at the center. That’s not just talk. She walks the walk and is making sure everybody is walking with her.Under her leadership, the AFL-CIO has recommitted ourselves to standing together with our friends and allies in the civil rights and social justice movements. Because we’re stronger together, and our shared missions of justice, fairness, and opportunity for all people, especially those in underserved communities, are uniquely connected.When labor and civil rights work together, we can be that mighty force for change that Dr. King spoke about.That’s the legacy of Dr. King. That’s why we’re here. To be that mighty force for change.But as Liz said, that wasn’t always the case. Labor’s support for the 1963 March on Washington was lacking. Many unions back then didn’t fully appreciate or address the issues of workers of color and women faced in the workplace.Unions set up councils and caucuses to address these issues but for a number of unions, it was just window dressing  – a means to appear as if we were doing something to address the issues.In 1963, white labor leaders offering true support to the civil rights movement were few and far between.  They withheld critical financial support, which meant there was a real possibility the March on Washington wouldn’t happen. In 1963, Dr. King asked George Meany – the president of the AFL-CIO at the time – for financial support of the March on Washington. He made a plea and was denied. Dr. King had made his connection to our movement known time and time again. In fact, when he addressed the AFL-CIO convention in Florida two years prior, he said that the two most effective voices for social and economic justice are the labor movement and the civil rights movement. Dr. King made an appeal for our two movements to join together to lift up the concerns of workers and those who have been disrespected, disinherited, disenfranchised in our communities.But his call went unanswered. Let us answer that call today. Because his concerns remain.Workers are still being disrespected. Workers are still being disinherited. Workers are still being disenfranchised.These issues don’t just affect their lives in the workplace. These concerns deepen inequality everywhere, in every aspect of life. And places where workers don’t feel valued or respected are a fertile environment for misinformation and disinformation to seed hate and fascist ideology.  And when those hateful feelings are fomented, they put our very democracy at risk. They lead to policies of voter suppression designed to take away the very tools that give us a voice in who governs us. Dr. King knew that. That’s why he knew that it would take both movements – the labor and civil rights movements -- working as one, to create true opportunity, true equality, true democracy. He knew a good union job protected workers from discrimination, and that union workers had higher wages, health care, safer jobs.He knew a good union job was often the first step in generating wealth and creating economic power. It made the difference for folks who had little opportunity … it allowed them to buy a home and save for retirement and give their kids a start with a solid footing. One by one those jobs supported and lifted up communities all across the country.A good union job was often the first step in reversing an unequal system that has caused generations of damage. And I say the first step because that economic power also translated into political power. At the ballot box and on Capitol Hill. It gave people a voice at work and in our nation. That’s why Dr. King worked so hard to bring together the civil rights and labor movements.[Pause]As President Shuler mentioned, this year marks the 60th anniversary of the March on Washington. Leading up to that march, in June of 1963, Dr. King went to Detroit where he joined other civil rights and labor leaders. There he spoke out against segregation and the brutal attacks of civil rights activists in the South. And about the challenges Black workers faced in Detroit and other cities in the North: inequality in hiring practices, wages, education, and housing. And about how the civil rights bill wasn’t “going to get through if we don’t put some work in it and some determined pressure.”People packed into Cobo Hall to hear him say that today’s march – where 125,000 people flooded the streets of downtown Detroit – was “the largest and greatest demonstration for freedom ever held in the United States.” What they didn’t know was that they were watching a version of the speech he would write into the pages of history two months later in front of the Lincoln Memorial. That he was starting an unrelenting drum beat driving the marchers to Washington. A few days after the march in Detroit, King said it was “clear that the masses of people are with this movement.”But he warned that “it’s your moment of greatest heights that could also be the beginning of your undoing.”What does that mean for us today? Unions have never been as popular in recent history as they are now. The Black Lives Matter movement has galvanized us like never before.In the face of attacks on our voting rights and our very democracy across the United States and especially in the South, millions of people are enduring the long lines and extra steps meant to dissuade us from casting a ballot – meant to prevent us from exercising our right to vote.We have an opportunity before us we cannot miss out on. We have the momentum. The masses are with this movement. We can’t afford to ease up. Let’s keep up the determined pressure. To advance civil and human rights. To advance social and economic justice.Together. The labor movement and civil rights movement working as one. That’s the legacy of Dr. King. That’s why we’re here this weekend. And it is our job to contribute to that legacy. To answer his call. Let’s stay connected. Let’s stay committed. And let’s build a society that is fair and just for all. © 2023 AFL-CIO. All rights reserved.",Redmond
2,Redmond: Technological Achievement Should Not Impoverish Society,https://aflcio.org/speeches/redmond-technological-achievement-should-not-impoverish-society,1-6-2023,"AFL-CIO Secretary-Treasurer Fred Redmond's remarks as prepared for the 4th Annual Labor Innovation and Technology Summit at the Consumer Electronics Show.Thank you Ben [Whitehair] and good afternoon everyone. Thank you for joining us.I want to thank SAG-AFTRA, AFT, UNITE HERE and our Tech Institute for joining with the AFL-CIO to organize this summit. It gives us the chance to take stock of the opportunities and the challenges new technology presents to workers and our economy.Throughout our history – and in every industry – the labor movement has had to adapt to new technology. And we have. We are using new tech to organize and mobilize workers, and to help keep workers safe. Our unions are training workers and giving them the skills needed for new and emerging sectors. We’re partnering with universities and researchers at innovation labs – a few who are with us today – to get a clearer picture of the future of work and embed a worker voice in that important work.We’ve adapted and we will continue to adapt. We have to – that’s our job as unions. Working people are relying on us to continue to confront the challenges they’re facing now, and to shape the future of work and create opportunities for the next generation. How do we do that? By being at the table with employers, policymakers and other key stakeholders – by being at the center of every single conversation and debate about the future of work. The workers who are organizing and advocating and marching and striking are looking to us to make sure the benefits of technology and automation are distributed fairly. Because technology is neither good nor bad. And innovation doesn’t always have to lead to increased inequality. It’s a choice. We can decide whether new tech will benefit society as a whole, or if the gains will go only to the few.But time and time again we’ve seen our tax dollars go into government research and development that is then developed into world-changing technology. But the gains of our investment – the people’s investment – have not been shared broadly. They've gone to corporations and into the hands of the wealthy few.Our collective investment shouldn’t make inequality worse. It should lead to job creation here in the United States. It should lead to policies that connect those living at the margins to quality training and the chance not just to work, but to build a career through good union jobs.When Dr. King accepted the Nobel Prize, he hailed our nation’s “new and astonishing peaks of scientific success.” That we “produced machines that think and instruments that peer into the unfathomable range of interstellar space.” But Dr. King noted something important was missing. He said “there is sort of a poverty of the spirit which stands in glaring contrast to our scientific and technological abundance. We have learned to fly the air like birds and swim the sea like fish, but we have not learned the simple art of living together as [sisters and] brothers.”Dr. King was right. We can’t truly celebrate our achievements if those innovations divide us and deepen inequality. Our abundance of technological achievement should not impoverish society, it should be a source of shared prosperity and opportunity.And it can, through intentional government policies with the interests of workers at the center. Where strong unions can bargain for a fairer deal for the workers. And where workers have a voice across the entire innovation ecosystem – from the first stages of R&D to implementation. If the aspirations and well-being of working people are considered just as – if not more – important than the wealth of corporations and their investors, we can truly celebrate our abundance of achievements and our society will be richer for it.We have a lot of ground to cover today so I’ll stop there. Thanks again for joining us today. I’m looking forward to it.© 2023 AFL-CIO. All rights reserved.",Redmond
3,Shuler: Innovation Should Empower Workers and Expand Opportunity,https://aflcio.org/speeches/shuler-innovation-should-empower-workers-and-expand-opportunity,1-6-2023,"AFL-CIO President Liz Shuler's remarks as prepared for the 4th Annual Labor Innovation and Technology Summit at the Consumer Electronics Show.Good afternoon, everyone. Thank you to our partners, SAG-AFTRA, UNITE HERE, AFT and the AFL-CIO Technology Institute for bringing us together and bringing worker voices to the big show across town. And it’s quite a show. Technology is shaping every sector of the economy – and it’s all on display in the Vegas convention center promising a future of ease and efficiency and progress.  But let’s face it – all that gloss comes at a price.  Corporate America and its investors think they should decide our future for us. And it’s a future driven by profits – not workers, not community.We believe in a future where innovation is used to make jobs safer and smarter, to upskill not deskill workers, to create opportunity for those at the margins through an equitable economy.  And we know we can only get there if we – if working people and unions – are driving those changes. Workers need to have a voice when it comes to decisions about technology.  No one knows our industries, our public sector and our jobs better than we do. No one has better insight into which innovations and inventions will make jobs better, safer and smarter and which will put people – from workers to customers – in jeopardy. Unions have always helped workers navigate the shifting sands of industry and our public sector. We do that at a local union level but also as a movement — advancing democratic values in the workplace and communities and giving workers a voice on decisions that will shape their lives and impact their families. And today is an important day to mention democracy – two years ago we saw democracy under direct attack, and were reminded that we cannot take our democracy, or our democratic values, for granted. The conversations we are having this afternoon about technology, are in direct relationship with this question of who decides our fate – our future. How do we bring workers' voices, perspectives, and power into the technology decisions that will shape our workplaces, our economy, and our society? How do we ensure a future of fairness and equity?Answering those questions is fundamental work for unions. And it is critical that we see this as a fight for a democratic future that works for all of us. And there are lots of opportunities to make choices that create that future.  We all know technology doesn’t fall from the sky.  Since World War II massive amounts of public investment have gone into developing innovations between government, universities and businesses – with workers usually left out. In this moment of great technological innovation and investment – we’re going to change that. We’re going to make sure that the investments in new industries and technologies coming out of the CHIPS and Science, infrastructure and energy bills are going to empower working people, create good union jobs, and expand economic opportunity in every community. We are already working on flexing that muscle and getting workers in the room. We’re developing policy reforms and forging deep relationships with universities that are helping us to not just get workers in the lab but also to understand emerging tech so that we can understand technology trends – promises and challenge – and the leverage the future workers deserve.  The labor movement has been evolving and helping workers navigate technological change for more than a century – so we know how to do this. But the stakes have never been higher, so we need to take everything we know and share it. Unions are driving their own innovations and strategies every day. Training the workforce for tomorrow.And it will take work and collaboration to get there. Our unions and the AFL-CIO Technology Institute are already paving the way forward and building a fair and equitable future – together.© 2023 AFL-CIO. All rights reserved.",Shuler
4,Redmond: We Need the Missouri Labor Movement Now More Than Ever,https://aflcio.org/speeches/redmond-we-need-missouri-labor-movement-now-more-ever,8-22-2022,"Secretary-Treasurer Fred Redmond delivered the following remarks as prepared to the Missouri AFL-CIO Convention:Hello everyone. It’s great to be back in St. Louis.I want to thank my Steelworker Brother Pat White for hosting us in this great city and for your steadfast leadership and friendship. The Greater St. Louis CLC is doing such a terrific job advocating for all working people and for being engaged throughout the community.I know it’s been tough. The last couple of years have been one of the most challenging times in our history. And I’d like to thank Jake [Hummel] and Merri [Berry] and the entire team for rising to the challenge. For your commitment to the labor movement and dedication to Missouri’s working families. I know how hard you’ve worked.From the right to work fight, to Prop A, through the pandemic to this very day, you have shown workers all across this country the meaning of true solidarity. And what we can achieve when we come together and stick together.And America’s workers are taking a stand – while we put in the hours during the pandemic, it was major corporations who made record profits. And where did those profits go? Well - we saw the pay gap between CEOs and workers expand, so you tell me. Working people are only asking for what’s fair: a fair return on our labor. Safe jobs. Equitable wages and benefits that will support our families.To be able to retire with dignity. That’s what the 2,500 members of Machinists Local 857 did when they stood their ground against Boeing. They rejected the two-tier wage system. Said it was a non-starter. And they won a strong contract that not only improved their lives, but paved the way for future generations to have a solid job and a middle class life.And workers all over Missouri – especially young people – are embracing unions as a vehicle to speak up at work.There’s an energy out there. Just look at the number of union election petitions filed at the NLRB this year. It’s been through the roof. They can’t keep up.And Missouri’s workers are overcoming relentless union-busting campaigns and winning. In all sectors of the economy. Google Fiber contractors. Cannabis workers. Library workers. Workers are standing up to demand respect on the job and strengthen our communities.And Missouri labor has been there every step of the way. You’re organizing. You’re building capacity. You’re working with elected officials. Take the Painters and Allied Trades union in Kansas City, for example. They worked with city officials to pass an ordinance that puts an end to wage theft and misclassification. That’s a big deal. Because people are more likely to be ripped off by their employer than anybody else. That’s a fact. And those employers tend to target our society’s most vulnerable. It’s a labor issue. It’s a human rights issue. And it’s just one of many examples of how the labor movement is showing up for ALL working people.  And it’s an example of how our state feds and local labor bodies are at the heart of our movement. You’re closest to the problems and so are closest to the solutions, and Missouri’s working people know you are fighting for a better future and have their best interests at heart. You have earned their trust.We need to continue to build on that trust. Leverage it. And we have the opportunity to do so in this upcoming election. Because this year we’re going back to the basics. We’re going to have conversations with members at worksites. We’re going to listen. We’re going to hear what they have to say. Their struggles at work and at home. Hear what keeps them up at night.Just like in organizing, we’re going to build that trust. And then we can point to the candidates who will address those concerns and ease our struggles. The candidates who share our hopes and dreams and who care about working people and our rights. And I know we’re going to hear from a few of them in a little bit.Candidates like Trish Gunby. Working people in Missouri deserve a friend, a champion, a pro-union member of Congress. And it sure as heck isn’t Ann Wagner. Let’s send her packing and send Trish Gunby to Washington!Let’s reelect Brian WIlliams – a proven friend of working people – to the State Senate. And let’s strengthen that chamber by sending State Representative Tracy McCreery to the State Senate!And in the U.S. Senate, the pundits say we can’t keep our pro-worker advantage. But they don’t know the true power of organized labor and we have a golden opportunity to prove them wrong. Because Missouri labor is going to be the difference and we’re going to send Trudy Busch Valentine to Washington!Because this November we’re going to elect our allies and retire our enemies. We’re going to elect pro-worker candidates up and down the ballot.  We’re going to pass the legislation and policies that matter to working people.
We know elections have consequences. It’s our job to remind our members of that too. It’s our job to remind them who passed the American Rescue Plan and who created hundreds of thousands of good, life-changing union jobs in Iowa and across the country through the infrastructure bill.Remind them who is making major investments in energy and manufacturing supply chains. Who is lowering health care costs and making prescription drugs more affordable. Who is protecting our environment AND creating jobs with strong labor standards.We may be the only institution with the infrastructure and reach to cut through the noise, to counter the misinformation and disinformation that has divided our country. And it all starts with you, our state feds and local labor bodies. And this is just the beginning. We’re going to carry this model into 2023 and 2024 and beyond. Because our members need to know when our rights – to organize, to vote – are being suppressed. Our members need to know who – at all levels of government – are threatening our very democracy for their own personal gain.And these conversations will help us build our power. In the halls of government. In organizing new workers. And in our solidarity for striking workers.We need the Missouri labor movement now more than ever before. Keep organizing and mobilizing. Keep being a force for working people. Keep building a Missouri that works for all of us.Let’s show the nation what grassroots power looks like.Let’s show America our strength.Let’s show America our unity.And let’s show America that when working people stand together, nothing – NOTHING – can stand in our way!Thank you.© 2023 AFL-CIO. All rights reserved.",Redmond
5,"Shuler to Government, Business, Judicial Leaders: Give Workers A Seat at the Table",https://aflcio.org/speeches/shuler-government-business-judicial-leaders-give-workers-seat-table,8-3-2022,"President Liz Shuler delivered the following remarks as prepared at the Big Sky Labor & Employment Conference:Thank you, Erin, and hello, everyone. It’s great to be here in Big Sky, and I want to thank our hosts for inviting me to join all of you and for giving me the opportunity to open up this conference on labor and employment with a message from the more than 12 million working people who are members of the AFL-CIO. I have the incredible privilege of representing the nurses in emergency rooms who helped our loved ones battle COVID… the meatpackers who make sure there is food on the shelves when we go to the grocery store…the tradespeople who are - at this very minute - rebuilding our nation’s crumbling infrastructure… and even your favorite NFL and women’s soccer players. Our labor movement spans industries and sectors, regions and states. Union members are found from coast to coast. And wherever you find them, you’ll find the people powering our nation’s economy. But you won’t often find working people at events like this. Powerful people talk about us a lot—but it’s not often they talk WITH us. It’s time for that to change. And I believe every single one of you already knows that. You know that because you’re seeing the same trends I’m seeing. When you look across the country, turn on the news, open Twitter...it’s the same story every day: working people are fed up. We’re fed up with working harder, being more productive, and watching other people take the fruits of our labor… With being called essential one day and expendable the next...But most of all we are fed up with being told to be quiet, get with the program, and it will all be alright.  But it’s not alright.  Not by a long shot. Record numbers of people quit their jobs last year, and I just saw new data showing 40%—40%—of workers want to quit their jobs in the next three to six months. Clearly the current system isn’t working for anyone. So at the AFL-CIO, we looked into these trends. We did a survey of 10,000 people and asked: Why do you  want to leave your job? And we asked: What do YOU think would make YOUR JOB better?And while many people said they quit their jobs over issues like income and pay—the reasons we’d all expect, more workers said that it was the way they were treated that pushed them to leave their jobs. Time and time again, we heard unfair treatment, poor management, and toxic environments were the worst parts of the job. So then we asked people: Do you think collective action could have solved your issues with pay and benefits, and management, and treatment at your workplace? And half of the respondents said yes. Half. And we’re seeing that belief brought to life. Working people are organizing everywhere—in breweries and coffee shops...REI and Apple Stores...stadiums and hospitals...universities and museums...in the cannabis industry...on Capitol Hill...and even on the ski patrol at the Big Sky Resort. And as far as I’m concerned those workers who are organizing, who are finding the courage to fight for a better life on the job—they are the heart of our labor movement.  When I’m out talking to people who are organizing, I hear so much talk about building a fairer system, with respect for the working people who make companies’ successes possible. And it reminds me of when I got my start as an organizer back at the local utility company in Oregon. My whole family worked for the electric utility company. My dad was a power lineman. My mom worked in service and design. And during college, I worked at the utility as a clerical worker. And I saw how the power linemen were treated – they had good pay, benefits and dignity. And I saw how the clerical workers were treated—basically the opposite. And I knew what the difference was right away: the power linemen were in a union, the clerical workers weren’t—so we didn’t have a voice on the job.After I graduated from college, the clerical workers decided to organize…to end the days of one set of rules for some and one set for others. They were standing up, taking a huge risk, and showing incredible courage to fight for what was fair. I wanted to be a part of that! So I worked on that campaign, then I went to work as an organizer for IBEW Local 125—and I never looked back. I’ve been organizing and fighting for fairer workplaces ever since, I just get to do it on a bigger scale now. And when I’m out with organizers or on picket lines with striking workers, I see that same call for fairness, for a single set of rules that everyone has to play by. Last year, I had the privilege of walking the Nabisco picket line...where more than 1,000 workers went on strike. Mondelez thought they could threaten to ship good, union jobs to Mexico if workers didn't agree to major concessions...despite bringing in record corporate profits. The company was trying to pit workers against each other by offering a two-tiered health care system that would've weakened coverage for new hires.But the workers there wouldn’t stand for that. When I was on the picket line in Richmond, Virginia I met two members of BCTGM Local 358, Keith Bragg and Darlene Carpenter. And they recognized that a threat to any worker is a threat to us all. They told me: “We don’t sell out our young workers. We are fighting for the next generation.”  That’s what the labor movement does. We stand together to fight for each other and for what’s right and what’s fair. And when we come together and organize worker power in our unions, we create a path forward for our families, our communities and our country. We create hope and confidence in the future. But when the only power is the power of organized money...and when the economy feels unfair, and political life seems mysterious and closed to working people, that makes the very foundation of our communities and our democracy unstable. That’s a threat to everyone. I’m sure you’ve been glued to the TV during the January 6th hearings like I have. It’s appalling to see the lengths a few people in power, starting with our former president, went to in order to undermine our democracy. But what’s equally worrying is the anger and frustration of the people in the crowd they summoned and manipulated–feelings we see across the country and the political spectrum.If we want our democracy to be stable and real, America needs to be a country where people have a way to have a voice…to have power and dignity. In the workplace, in their communities, in our nation as a whole. That’s what unions are: a way for working people to create for ourselves these fundamental things in life—stability… prosperity… a place to belong. That’s why large majorities of the American public support unions, and even larger majorities support specific groups of workers taking action—like John Deere strikers and Amazon organizers. And it’s why I see unions as a true pillar of democracy. Rule by the people - that’s what unions are at heart. And rule by the people is how we’re going to fix the challenges we face. So let’s talk about how we get there—to a real democracy that begins in the workplace. Because working people cannot continue to be shut out of the process if we want to have a healthy economy, a healthy society or a healthy democracy.In the labor movement we believe in dialogue. Negotiation is our lifeblood—t’s what we do. We’re not scared of a conversation – even when it’s difficult, even when it seems like there’s no way forward. Because we know that not talking is the only way you’re guaranteed to not make any progress.I am here today because I believe that if our country and our world are going to move forward—we need constructive dialogue between working people, business and government. But we can’t pretend we have dialogue here at Big Sky when actual working people in actual workplaces don’t have a seat at the table. Or when a majority of America’s workers say they want to be part of unions and their employers and their employers’ friends in government and on the courts make that impossible. We see those actions every day…From companies that refuse to bargain in good faith...fire people who organize...hold captive audience meetings...replace workers who are striking for better pay...or intentionally misclassify workers to deny them the legal protections that come from being an employee... From those who use the courts to aid and abet the union busting process and tell employers how to get away with breaking the law… And from public servants who have used budget cuts and endless litigation to limit the power of the NLRB...and who refuse to advance the PRO Act and create rules that level the playing field for working people. All of those actors who work so hard to silence working people would do well to learn the importance of having a two-way dialogue - quickly. I know we have a mixed crowd here, so that’s just some friendly advice. And if you don’t believe me, again, just look at the news, workers are fed up. There’s almost no better example of the need for companies to have an ongoing dialogue with and a respect for working people than Warrior Met Coal in Alabama. Six years ago Warrior Met filed for bankruptcy, but in order to save the company and the community, the workers agreed to make major sacrifices - to their wages, time off, overtime pay and healthcare coverage. Thanks to those workers, the company has been able to turn things around, but they still haven’t fully reinstated worker pay and benefits. So those workers have had to go on strike for more than a year. For more than a year the miners at Warrior Met have been facing financial uncertainty in order to send the message to the company that if we’re going to share in the sacrifice, we sure as hell better share in the success. But Warrior Met hasn’t budged. The strike has already cost the company millions of dollars in expenses and idle mines and billions in potential sales. It’s gotten to the point where even BlackRock Investment Management - the world’s largest asset manager and the company’s leading shareholder—has told Warrior Met that prolonging the strike is bad for business. The team at BlackRock must know the union saying ‘one day longer, one day stronger.’ Anyone who’s heard it knows trying to wait us out isn’t the best option. That’s why it’s better to come to the table in good faith. I have always believed that the best solutions are found by working together – that’s probably what drew me to unions in the first place. No one knows the meaning of those two words - working and together - better than we do. That’s why I see a future where unions and workers are integrated into every facet of our economy - so we can help develop better solutions that work for everyone. When I look at the way technology is changing workplaces, for instance, I see a simple truth: if you want to make smart investments in technology that will truly improve your workplaces—you have to start by talking to the people who will work with it. We know the operations of our industries better than anyone. We know that implementing new technology works better when workers have a genuine voice in the process, not just on the easy questions, but the tough ones that will never be surfaced through an “open door” policy. We need to be at every table creating the next generation of technology. Bringing working people to the table and upstream in R&D pays dividends for everyone. That’s why we launched the AFL-CIO Technology Institute, so we could bring the brightest minds in research, organizing, and innovation together. And as industries continue to shift and change, unions can continue to prepare workers with the skills they need for the jobs of today and tomorrow. Companies and unions can work together to build the next generation of the American workforce. Union training is already the gold standard, and it can give workers access to the upskilling companies will need to meet the demands of the future. I see a similar model for new industries—from clean energy to tech to cannabis. Collaborating with working people to build these industries from the ground up will create a solid foundation for new industries by creating a sustainable workforce that can help them get established and continue to grow. One of the efforts I am most proud to have been a part of is an effort with the building trades unions to help advance the investments we must make to fight climate change. We just signed a project labor agreement with the Danish offshore wind company Orsted to make sure that all of the construction jobs on wind farms all up and down the East Coast will be good union jobs. Together, we’re proving that this model works. And it must work if we are going to fight climate change effectively. If we can’t make new energy jobs as good as or better than legacy energy jobs, we simply won't make the change fast enough to avoid catastrophe.And I know that more companies are starting to get the idea that there is incredible value in valuing working people. I know that because I see their commercials. Like the Amazon commercials that tout the benefits they offer to employees and show smiling workers in warehouses. Except we all know those workers are leaving in droves – they leave so quickly that Amazon actually builds a 150% turnover rate into their business model. Or the car commercial I saw the other day that I could’ve sworn it was a union ad. This entire commercial focused on the hardworking people who assemble cars right here in America - it had the dramatic Morgan Freeman-style voice over, the close ups of smiling workers on the factory floor, worker’s signatures, you name it. The message was clear: our value comes from the people who make our product. If Madison Avenue can see the value in the American worker, I know everyone here can, too. But this recognition has to go beyond using workers as a selling point in your ads or your talking points. Every company now knows the value of socially responsible business practices - those start in house… your social responsibility starts with your own employees. And this next generation of job applicants are looking for you to take that responsibility seriously. They will be pushing you—and you have two ways to respond. And I want to spell out what choosing each of those ways will look like. You can go the path of Starbucks, where baristas have been joining together from Seattle to Miami to ask for basic things like fair pay, predictable schedules and affordable health care. In response, the company has spent countless dollars deploying classic union busting techniques. During an April town hall, CEO Howard Shultz went so far as to call their efforts to form unions a “threat” and an “assault.” You can imagine that hasn’t exactly slowed the workers down. In fact—since that town hall, more than 189 locations have voted to form unions and at least 40 more have filed to form them. Or you could go the path of Microsoft and its CEO Brad Smith, who looked at the direction their workers were heading in and chose a different response. They worked with the Communications Workers of America to enter into a labor neutrality agreement that applied at Microsoft and Activision Blizzard—because they recognized that enabling workers to freely and fairly make a choice about union representation will benefit Microsoft and its employees, and create opportunities for innovation in the gaming sector.60 million of America’s workers would join a union today if they could. This future is coming. You can fight it or you can embrace it. Every one of us can look ahead and see where the workforce is going - they’ve made it clear. I encourage you all to meet them there. Resistance doesn’t work—it will only widen the inequality gap, push people further behind, and create more instability and a less productive, less reliable workforce. We each have a role to play—in our companies, our unions, our courts, our government. Each of us can address the roadblocks that make it harder for people to organize, each of us can choose to stop putting them up. Unions are how we build the workplaces and societies we need to lead good lives – that’s something everyone should understand and support. Unions are the pathway that workers build to a better future for our democracy, for business, and for America. That ad I just mentioned earlier, that showed all those people hard at work assembling cars, ended with the line: You might not know their names, but these people get up every day working together to move us all forward. My challenge to you is: get to know our names…help us get a seat at the table…have the dialogue. And I promise that when you do, we will all move forward. Thank you. © 2023 AFL-CIO. All rights reserved.",Shuler
