,created_at,text,entities,public_metrics,union
62,2022-10-31T13:00:00.000Z,"What’s most scary this Halloween? A company like @KumhoTireUSA that’s more invested in delaying a union contract &amp; not respecting their employee’s choice for a union than worker health and safety, says USW District 9 Director Daniel Flippo. #Solidarity #1u #BetterLivingBetterLife https://t.co/2hU8CiHFu8","{'mentions': [{'start': 49, 'end': 62, 'username': 'KumhoTireUSA', 'id': '102481992', 'location': 'Atlanta, GA', 'protected': False, 'url': 'https://t.co/WDpHvKmalX', 'verified': True, 'public_metrics': {'followers_count': 7098, 'following_count': 91, 'tweet_count': 5997, 'listed_count': 83}, 'created_at': '2010-01-06T21:16:37.000Z', 'entities': {'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/WDpHvKmalX', 'expanded_url': 'http://kumhotire.com', 'display_url': 'kumhotire.com'}]}, 'description': {'hashtags': [{'start': 0, 'end': 10, 'tag': 'KumhoTire'}], 'mentions': [{'start': 29, 'end': 33, 'username': 'NBA'}, {'start': 38, 'end': 49, 'username': 'NBAGLeague'}]}}, 'description': '#KumhoTire Official Tires of @NBA and @NBAGLeague', 'name': 'Kumho Tire USA', 'profile_image_url': 'https://pbs.twimg.com/profile_images/1466449738484502528/9bqpaayR_normal.jpg'}], 'urls': [{'start': 285, 'end': 308, 'url': 'https://t.co/2hU8CiHFu8', 'expanded_url': 'https://twitter.com/steelworkers/status/1587066862541701121/photo/1', 'display_url': 'pic.twitter.com/2hU8CiHFu8', 'media_key': '3_1586034855246270468'}], 'annotations': [{'start': 23, 'end': 31, 'probability': 0.6973, 'type': 'Other', 'normalized_text': 'Halloween'}, {'start': 206, 'end': 219, 'probability': 0.4342, 'type': 'Organization', 'normalized_text': 'USW District 9'}, {'start': 230, 'end': 242, 'probability': 0.5361, 'type': 'Person', 'normalized_text': 'Daniel Flippo'}], 'hashtags': [{'start': 245, 'end': 256, 'tag': 'Solidarity'}, {'start': 257, 'end': 260, 'tag': '1u'}, {'start': 261, 'end': 284, 'tag': 'BetterLivingBetterLife'}]}","{'retweet_count': 5, 'reply_count': 2, 'like_count': 12, 'quote_count': 0, 'impression_count': 0}",steelworkers
73,2022-10-30T18:00:39.000Z,"Learn #leadership and communication skills to meet the challenges and opportunities of today’s #health care environment at ANA’s virtual New #Nurse #Manager Basics Workshop, November 14-15. Register today - https://t.co/b9FrlDf9BA #nursing https://t.co/VvXgCH51Tt","{'urls': [{'start': 207, 'end': 230, 'url': 'https://t.co/b9FrlDf9BA', 'expanded_url': 'https://hubs.ly/Q01mMnlQ0', 'display_url': 'hubs.ly/Q01mMnlQ0', 'status': 200, 'title': '2022 New Nurse Manager Workshop', 'description': 'Join us for this special two-day virtual workshop that will deliver everything you need to succeed as a new nurse manager.', 'unwound_url': 'https://pages.nursingworld.org/nurse-manager-workshops2022?utm_campaign=382154_2022_New_Nurse_Manager_CCE_1008&utm_source=twitter&utm_medium=social&utm_content=NLAPRNSN_1200X675_MEMSAVE60_RN'}, {'start': 240, 'end': 263, 'url': 'https://t.co/VvXgCH51Tt', 'expanded_url': 'https://twitter.com/ANANursingWorld/status/1586780132810825729/photo/1', 'display_url': 'pic.twitter.com/VvXgCH51Tt', 'media_key': '3_1586780131598688258'}], 'annotations': [{'start': 123, 'end': 125, 'probability': 0.6539, 'type': 'Organization', 'normalized_text': 'ANA'}], 'hashtags': [{'start': 6, 'end': 17, 'tag': 'leadership'}, {'start': 95, 'end': 102, 'tag': 'health'}, {'start': 141, 'end': 147, 'tag': 'Nurse'}, {'start': 148, 'end': 156, 'tag': 'Manager'}, {'start': 231, 'end': 239, 'tag': 'nursing'}]}","{'retweet_count': 0, 'reply_count': 2, 'like_count': 10, 'quote_count': 0, 'impression_count': 0}",ANANursingWorld
91,2022-10-29T22:16:07.000Z,"UNITE HERE's attention to voters’ specific needs could help insulate Democratic candidates in Arizona, Nevada and Pennsylvania from a national environment that appears to be quite favorable for Republicans.  https://t.co/F5ztofcL1Z","{'urls': [{'start': 208, 'end': 231, 'url': 'https://t.co/F5ztofcL1Z', 'expanded_url': 'https://www.theguardian.com/us-news/2022/oct/29/unite-here-voter-drive-democrats-us-midterms-arizona-nevada-pennsylvania', 'display_url': 'theguardian.com/us-news/2022/o…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1597709701965570049/bmng1Pm5?format=jpg&name=orig', 'width': 1200, 'height': 630}, {'url': 'https://pbs.twimg.com/news_img/1597709701965570049/bmng1Pm5?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': '‘We’re going to win’: the union fighting for Democratic votes during the US midterms', 'description': 'States like Arizona, Nevada and Pennsylvania may determine who controls the US Senate, invigorating Unite Here’s effort to mobilize Democratic votes', 'unwound_url': 'https://www.theguardian.com/us-news/2022/oct/29/unite-here-voter-drive-democrats-us-midterms-arizona-nevada-pennsylvania'}], 'annotations': [{'start': 94, 'end': 100, 'probability': 0.9439, 'type': 'Place', 'normalized_text': 'Arizona'}, {'start': 103, 'end': 108, 'probability': 0.9736, 'type': 'Place', 'normalized_text': 'Nevada'}, {'start': 114, 'end': 125, 'probability': 0.987, 'type': 'Place', 'normalized_text': 'Pennsylvania'}]}","{'retweet_count': 8, 'reply_count': 0, 'like_count': 8, 'quote_count': 0, 'impression_count': 0}",unitehere
134,2022-10-28T20:12:00.000Z,"After months of attempting to even get a meeting with mine owners, miners struck for better wages, a shorter work week, and union recognition. https://t.co/HlPtY9CXzF","{'urls': [{'start': 143, 'end': 166, 'url': 'https://t.co/HlPtY9CXzF', 'expanded_url': 'https://umwa.org/news-media/journal/umwas-anthracite/', 'display_url': 'umwa.org/news-media/jou…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1589784693544976389/Qx3tEl38?format=jpg&name=orig', 'width': 940, 'height': 788}, {'url': 'https://pbs.twimg.com/news_img/1589784693544976389/Qx3tEl38?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': ""UMWA's Anthracite - UMWA"", 'description': 'The Great Anthracite Coal Strike The Great Anthracite Coal Strike, the first major strike the young UMWA had ever taken on, began on May 12, 1902. At that time almost all coal in the United States that was mined was anthracite coal, ideal for industrial use and heating homes all across the nation. After months […]', 'unwound_url': 'https://umwa.org/news-media/journal/umwas-anthracite/'}]}","{'retweet_count': 9, 'reply_count': 1, 'like_count': 14, 'quote_count': 1, 'impression_count': 0}",MineWorkers
160,2022-10-28T15:02:59.000Z,Union members are going to build the chargers that enable Americans to drive across the country in electric vehicles. That’s one of the reasons why we support @POTUS’s infrastructure and Building a Better America agenda. 🚗⚡️#1u https://t.co/g4YFzTC443,"{'urls': [{'start': 228, 'end': 251, 'url': 'https://t.co/g4YFzTC443', 'expanded_url': 'https://twitter.com/MattHill46/status/1585715876170375168/video/1', 'display_url': 'pic.twitter.com/g4YFzTC443', 'media_key': '7_1585715834541981696'}], 'annotations': [{'start': 205, 'end': 211, 'probability': 0.7686, 'type': 'Place', 'normalized_text': 'America'}], 'mentions': [{'start': 159, 'end': 165, 'username': 'POTUS', 'id': '1349149096909668363', 'created_at': '2021-01-13T00:37:08.000Z', 'name': 'President Biden', 'url': 'https://t.co/MzB1JWfbJ0', 'profile_image_url': 'https://pbs.twimg.com/profile_images/1380530524779859970/TfwVAbyX_normal.jpg', 'protected': False, 'public_metrics': {'followers_count': 29408836, 'following_count': 13, 'tweet_count': 5282, 'listed_count': 22882}, 'pinned_tweet_id': '1623140021657018369', 'entities': {'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/MzB1JWfbJ0', 'expanded_url': 'http://WhiteHouse.gov', 'display_url': 'WhiteHouse.gov'}]}, 'description': {'urls': [{'start': 98, 'end': 121, 'url': 'https://t.co/HDhBZBkKpU', 'expanded_url': 'http://whitehouse.gov/privacy', 'display_url': 'whitehouse.gov/privacy'}], 'mentions': [{'start': 48, 'end': 55, 'username': 'FLOTUS'}]}}, 'verified': True, 'description': '46th President of the United States, husband to @FLOTUS, proud dad & pop. Tweets may be archived: https://t.co/HDhBZBkKpU\nText me: (302) 404-0880'}], 'hashtags': [{'start': 224, 'end': 227, 'tag': '1u'}]}","{'retweet_count': 37, 'reply_count': 1, 'like_count': 54, 'quote_count': 4, 'impression_count': 0}",AFLCIO
226,2022-10-27T15:00:30.000Z,"Before you fill out your ballot this November, take a second to check: Is this candidate pro-union? Is this candidate PRO-LIUNA? How did your Senator vote on @POTUS energy and jobs bill?  #LIUNAVotes2022 #Election2022 #MidtermElections

Learn More: https://t.co/EwwPzPsit6 https://t.co/Y9oFdl7fFp","{'hashtags': [{'start': 188, 'end': 203, 'tag': 'LIUNAVotes2022'}, {'start': 204, 'end': 217, 'tag': 'Election2022'}, {'start': 218, 'end': 235, 'tag': 'MidtermElections'}], 'mentions': [{'start': 158, 'end': 164, 'username': 'POTUS', 'id': '1349149096909668363', 'protected': False, 'entities': {'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/MzB1JWfbJ0', 'expanded_url': 'http://WhiteHouse.gov', 'display_url': 'WhiteHouse.gov'}]}, 'description': {'urls': [{'start': 98, 'end': 121, 'url': 'https://t.co/HDhBZBkKpU', 'expanded_url': 'http://whitehouse.gov/privacy', 'display_url': 'whitehouse.gov/privacy'}], 'mentions': [{'start': 48, 'end': 55, 'username': 'FLOTUS'}]}}, 'profile_image_url': 'https://pbs.twimg.com/profile_images/1380530524779859970/TfwVAbyX_normal.jpg', 'verified': True, 'pinned_tweet_id': '1623140021657018369', 'public_metrics': {'followers_count': 29407113, 'following_count': 13, 'tweet_count': 5282, 'listed_count': 22882}, 'created_at': '2021-01-13T00:37:08.000Z', 'description': '46th President of the United States, husband to @FLOTUS, proud dad & pop. Tweets may be archived: https://t.co/HDhBZBkKpU\nText me: (302) 404-0880', 'url': 'https://t.co/MzB1JWfbJ0', 'name': 'President Biden'}], 'urls': [{'start': 249, 'end': 272, 'url': 'https://t.co/EwwPzPsit6', 'expanded_url': 'https://liunavotes2022.org/who-voted-pro-liuna', 'display_url': 'liunavotes2022.org/who-voted-pro-…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1587472295983030278/n9k2qhB5?format=png&name=orig', 'width': 220, 'height': 132}, {'url': 'https://pbs.twimg.com/news_img/1587472295983030278/n9k2qhB5?format=png&name=150x150', 'width': 132, 'height': 132}], 'status': 200, 'title': 'Representative Pro Union 2022 | LiUNA Votes 2022', 'description': 'Representative Pro Union 2022', 'unwound_url': 'https://www.liunavotes2022.org/who-voted-pro-liuna'}, {'start': 273, 'end': 296, 'url': 'https://t.co/Y9oFdl7fFp', 'expanded_url': 'https://twitter.com/LIUNA/status/1585647632621326338/photo/1', 'display_url': 'pic.twitter.com/Y9oFdl7fFp', 'media_key': '3_1585647621451849730'}]}","{'retweet_count': 1, 'reply_count': 1, 'like_count': 4, 'quote_count': 0, 'impression_count': 0}",LIUNA
321,2022-10-25T19:17:46.000Z,"""Violence against health care employees is unacceptable. This must end now.” - @ANAPresident Grant

For years, ANA has called for zero tolerance for #WPV &amp; advocated for legislation &amp; policies to protect &amp; safeguard #nurses &amp; other employees. 👇 https://t.co/q3v7JWAYxS https://t.co/s1Tnn6WqPg","{'hashtags': [{'start': 149, 'end': 153, 'tag': 'WPV'}, {'start': 228, 'end': 235, 'tag': 'nurses'}], 'mentions': [{'start': 79, 'end': 92, 'username': 'ANAPresident', 'id': '83667313', 'profile_image_url': 'https://pbs.twimg.com/profile_images/1609549350908076032/4PlZp_7s_normal.jpg', 'verified': False, 'entities': {'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/WPF7Qx4QLS', 'expanded_url': 'https://www.nursingworld.org/ana', 'display_url': 'nursingworld.org/ana'}]}, 'description': {'mentions': [{'start': 68, 'end': 84, 'username': 'ANANursingWorld'}]}}, 'protected': False, 'created_at': '2009-10-19T19:12:41.000Z', 'description': ""Jennifer Mensik Kennedy, Ph.D., MBA, RN, NEA-BC, FAAN, President of @ANANursingWorld supporting the nation's 4.4 million registered nurses."", 'name': 'Jennifer Mensik Kennedy', 'public_metrics': {'followers_count': 7244, 'following_count': 208, 'tweet_count': 1957, 'listed_count': 80}, 'url': 'https://t.co/WPF7Qx4QLS', 'pinned_tweet_id': '1620799231534551041', 'location': 'Silver Spring, MD'}], 'urls': [{'start': 261, 'end': 284, 'url': 'https://t.co/q3v7JWAYxS', 'expanded_url': 'http://ow.ly/C0So50LkxAz', 'display_url': 'ow.ly/C0So50LkxAz', 'status': 200, 'title': 'ANA Statement on the Methodist Dallas Medical Center Shooting', 'description': '“Tragically, last week, three health care professionals were fatally assaulted in the facilities where they worked while caring for patients."" The following statement is attributable to American Nurses Association President Ernest J. Grant, PhD, RN, FAAN.', 'unwound_url': 'https://www.nursingworld.org/news/news-releases/2022-news-releases/statement-on-the-methodist-dallas-medical-center-shooting/'}, {'start': 285, 'end': 308, 'url': 'https://t.co/s1Tnn6WqPg', 'expanded_url': 'https://twitter.com/ANANursingWorld/status/1584987603115180032/photo/1', 'display_url': 'pic.twitter.com/s1Tnn6WqPg', 'media_key': '3_1584987233085521941'}], 'annotations': [{'start': 111, 'end': 113, 'probability': 0.5879, 'type': 'Organization', 'normalized_text': 'ANA'}, {'start': 150, 'end': 152, 'probability': 0.414, 'type': 'Other', 'normalized_text': 'WPV'}]}","{'retweet_count': 14, 'reply_count': 13, 'like_count': 40, 'quote_count': 2, 'impression_count': 0}",ANANursingWorld
364,2022-10-25T13:38:00.000Z,"The Inflation Reduction Act will put SMART members to work building our country's new climate infrastructure. In two weeks, secure your future by supporting candidates who acted on behalf of our jobs with the Inflation Reduction Act. More info: https://t.co/4Wp3QDq794 https://t.co/nWRsFgeGE1","{'urls': [{'start': 245, 'end': 268, 'url': 'https://t.co/4Wp3QDq794', 'expanded_url': 'http://SMARTUnionVote.org', 'display_url': 'SMARTUnionVote.org', 'images': [{'url': 'https://pbs.twimg.com/news_img/1598363194610917377/b4CNUJFu?format=jpg&name=orig', 'width': 2000, 'height': 750}, {'url': 'https://pbs.twimg.com/news_img/1598363194610917377/b4CNUJFu?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Take Action - SMART Union', 'unwound_url': 'https://smart-union.org/get-involved/voter-information/'}, {'start': 269, 'end': 292, 'url': 'https://t.co/nWRsFgeGE1', 'expanded_url': 'https://twitter.com/smartunionworks/status/1584902095471226880/photo/1', 'display_url': 'pic.twitter.com/nWRsFgeGE1', 'media_key': '3_1583084941545545729'}], 'annotations': [{'start': 4, 'end': 26, 'probability': 0.7169, 'type': 'Other', 'normalized_text': 'Inflation Reduction Act'}, {'start': 37, 'end': 41, 'probability': 0.4767, 'type': 'Organization', 'normalized_text': 'SMART'}, {'start': 219, 'end': 231, 'probability': 0.5482, 'type': 'Other', 'normalized_text': 'Reduction Act'}]}","{'retweet_count': 3, 'reply_count': 0, 'like_count': 9, 'quote_count': 0, 'impression_count': 0}",smartunionworks
413,2022-10-24T14:42:09.000Z,"Democrats in Congress: Fighting to cut costs for working people, bring down prescription drug prices, cap the price of insulin, invest in green energy &amp; make the wealthy pay their fair share.

MAGA Republicans: https://t.co/HYeE3QWOrk","{'urls': [{'start': 215, 'end': 238, 'url': 'https://t.co/HYeE3QWOrk', 'expanded_url': 'https://twitter.com/AFTunion/status/1584555854271250433/photo/1', 'display_url': 'pic.twitter.com/HYeE3QWOrk', 'media_key': '3_1584555850424795137'}], 'annotations': [{'start': 0, 'end': 8, 'probability': 0.6949, 'type': 'Organization', 'normalized_text': 'Democrats'}, {'start': 13, 'end': 20, 'probability': 0.7188, 'type': 'Organization', 'normalized_text': 'Congress'}]}","{'retweet_count': 9, 'reply_count': 0, 'like_count': 18, 'quote_count': 0, 'impression_count': 0}",AFTunion
416,2022-10-24T14:32:53.000Z,"“Birch Solar represents a pathway into the electrical trades where workers can finish their career with a pension that provides a respectable retirement, including healthcare.” - Mike Ruppert #IBEW Local 32, Lima, OH  https://t.co/qsGTxkbwjw","{'urls': [{'start': 218, 'end': 241, 'url': 'https://t.co/qsGTxkbwjw', 'expanded_url': 'https://bit.ly/3TIu16Y', 'display_url': 'bit.ly/3TIu16Y', 'images': [{'url': 'https://pbs.twimg.com/news_img/1583898709569347584/dy0npqyQ?format=jpg&name=orig', 'width': 702, 'height': 1068}, {'url': 'https://pbs.twimg.com/news_img/1583898709569347584/dy0npqyQ?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Solar Energy growing rapidly across the state: What you need to know - LimaOhio.com', 'description': 'LIMA', 'unwound_url': 'https://www.limaohio.com/top-stories/2022/10/22/solar-energy-growing-rapidly-across-the-state-what-you-need-to-know/'}], 'annotations': [{'start': 1, 'end': 11, 'probability': 0.5366, 'type': 'Organization', 'normalized_text': 'Birch Solar'}, {'start': 179, 'end': 190, 'probability': 0.7251, 'type': 'Person', 'normalized_text': 'Mike Ruppert'}, {'start': 208, 'end': 211, 'probability': 0.7115, 'type': 'Place', 'normalized_text': 'Lima'}, {'start': 214, 'end': 215, 'probability': 0.911, 'type': 'Place', 'normalized_text': 'OH'}], 'hashtags': [{'start': 192, 'end': 197, 'tag': 'IBEW'}]}","{'retweet_count': 5, 'reply_count': 0, 'like_count': 11, 'quote_count': 0, 'impression_count': 0}",IBEW
